                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0159,                 2.9047,                 1.6636,                0.00316,                0.73128,                0.14601,                0.06814,                 2.0228,                  4.009,                 1.8989,                0.00064,                0.00064,                0.00064
                      2,                  1.867,                 2.3768,                 1.5519,                0.74311,                 0.2467,                0.32395,                 0.1364,                 2.0235,                 3.4004,                 1.8517,              0.0012871,              0.0012871,              0.0012871
                      3,                  1.883,                 2.3207,                 1.6221,                0.35793,                 0.2775,                 0.2489,                0.08387,                 2.1737,                 3.1273,                 2.3563,              0.0019212,              0.0019212,              0.0019212
                      4,                 1.9385,                 2.2794,                 1.7025,                0.20051,                0.30396,                0.12778,                 0.0461,                 2.3676,                 3.8264,                 2.3896,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9133,                 2.0581,                 1.7066,                 0.6924,                0.45614,                0.51123,                0.22145,                 2.0533,                 1.9964,                 1.9481,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8741,                 1.9922,                 1.6733,                 0.5145,                 0.3408,                0.34418,                0.15556,                 2.2693,                 2.2653,                 1.9706,               0.001901,               0.001901,               0.001901
                      7,                 1.8263,                 1.9147,                 1.6688,                0.59793,                0.47137,                0.47963,                0.22509,                 1.9707,                 2.0229,                 1.8124,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.819,                 1.7873,                 1.6226,                 0.5233,                0.35683,                0.36896,                0.16749,                 2.0475,                 2.1535,                 1.8635,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8493,                 1.7652,                 1.6456,                0.63911,                0.40088,                0.46795,                 0.2169,                 1.9358,                 2.0612,                 1.8342,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7934,                 1.6777,                 1.5826,                0.66727,                0.54626,                0.59429,                0.31093,                 1.7295,                 1.8102,                 1.7063,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7513,                 1.6632,                 1.5724,                0.73916,                0.54927,                0.58545,                0.26839,                 1.9601,                 1.8347,                 1.8754,               0.001802,               0.001802,               0.001802
                     12,                 1.7231,                 1.5962,                 1.5449,                 0.7416,                0.55066,                 0.6395,                0.32833,                 1.8065,                 1.6488,                 1.7738,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6495,                 1.5099,                  1.505,                 0.8247,                0.54626,                0.68932,                0.35415,                 1.7472,                 1.5142,                 1.6783,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6671,                 1.4931,                 1.5325,                0.79284,                0.61233,                0.69786,                0.34122,                  1.813,                 1.5054,                 1.7989,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6724,                 1.4833,                 1.5521,                0.72468,                0.59471,                0.64802,                0.32269,                 1.7992,                 1.7047,                 1.8377,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6926,                 1.4862,                 1.5558,                0.83644,                0.61233,                0.71159,                0.38588,                 1.6298,                 1.4174,                 1.6561,               0.001703,               0.001703,               0.001703
                     17,                 1.6482,                 1.4645,                 1.5433,                 0.7659,                0.63436,                0.70641,                 0.3612,                 1.7156,                 1.4935,                 1.7682,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6498,                 1.4633,                 1.5579,                0.81273,                0.59912,                0.69479,                0.35565,                 1.7166,                 1.4554,                 1.7525,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6371,                 1.4568,                 1.5305,                0.79269,                 0.6401,                0.71057,                0.36752,                 1.7272,                 1.4212,                 1.7643,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6203,                 1.3407,                  1.518,                0.83964,                0.62115,                0.73505,                 0.3875,                 1.7096,                 1.3379,                 1.7355,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5604,                 1.3464,                 1.4742,                0.80907,                0.69163,                 0.7738,                0.41455,                 1.7142,                  1.361,                 1.7344,               0.001604,               0.001604,               0.001604
