2024-06-12 11:54:55,255 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-12 11:54:55,256 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Configure stats pid to 22288
2024-06-12 11:54:55,256 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Loading settings from C:\Users\dhshs\.config\wandb\settings
2024-06-12 11:54:55,256 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Loading settings from c:\Users\dhshs\Documents\CCTV(2)\2. shoes_detection\code\wandb\settings
2024-06-12 11:54:55,256 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-12 11:54:55,256 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:_log_setup():520] Logging user logs to c:\Users\dhshs\Documents\CCTV(2)\2. shoes_detection\code\wandb\run-20240612_115455-ynt46t6i\logs\debug.log
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:_log_setup():521] Logging internal logs to c:\Users\dhshs\Documents\CCTV(2)\2. shoes_detection\code\wandb\run-20240612_115455-ynt46t6i\logs\debug-internal.log
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000025A5BF5B410>
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:init():560] calling init triggers
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:init():610] starting backend
2024-06-12 11:54:55,260 INFO    MainThread:22288 [wandb_init.py:init():614] setting up manager
2024-06-12 11:54:55,260 INFO    MainThread:22288 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-12 11:54:55,267 INFO    MainThread:22288 [wandb_init.py:init():622] backend started and connected
2024-06-12 11:54:55,291 INFO    MainThread:22288 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2024-06-12 11:54:55,291 INFO    MainThread:22288 [wandb_run.py:_label_probe_notebook():1344] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-06-12 11:54:55,291 INFO    MainThread:22288 [wandb_init.py:init():711] updated telemetry
2024-06-12 11:54:55,291 INFO    MainThread:22288 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-12 11:54:56,020 INFO    MainThread:22288 [wandb_run.py:_on_init():2402] communicating current version
2024-06-12 11:54:56,176 INFO    MainThread:22288 [wandb_run.py:_on_init():2411] got version response 
2024-06-12 11:54:56,176 INFO    MainThread:22288 [wandb_init.py:init():795] starting run threads in backend
2024-06-12 11:55:07,502 INFO    MainThread:22288 [wandb_run.py:_console_start():2380] atexit reg
2024-06-12 11:55:07,504 INFO    MainThread:22288 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-12 11:55:07,504 INFO    MainThread:22288 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-12 11:55:07,504 INFO    MainThread:22288 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-12 11:55:07,518 INFO    MainThread:22288 [wandb_init.py:init():838] run started, returning control to user process
