                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97913,                 2.2727,                 1.3123,                0.64182,                0.27808,                0.48616,                0.30522,                 1.0308,                 3.0765,                 1.4161,                0.00044,                0.00044,                0.00044
                      2,                 1.0017,                  1.808,                 1.3317,                 0.4834,                0.30656,                0.35522,                0.18041,                 1.3214,                 3.1469,                 1.7942,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.0833,                 1.8177,                 1.3885,                0.33317,                0.36207,                0.29532,                0.12246,                 1.8378,                 3.1115,                  2.148,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.1661,                 1.8461,                 1.4493,                0.12799,                0.32759,                0.09482,                0.02872,                 2.3532,                 7.2459,                 2.8408,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.1767,                 1.6818,                  1.478,                0.16842,                0.21552,                0.11031,                 0.0394,                 2.1068,                 3.4091,                  2.539,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0976,                 1.5489,                 1.3943,                0.41955,                0.37069,                0.32479,                0.13632,                 1.6932,                 2.8059,                 2.1348,               0.001901,               0.001901,               0.001901
                      7,                  1.118,                 1.4813,                 1.4122,                0.38102,                0.41379,                 0.3496,                0.19684,                 1.6183,                 2.5519,                 2.3975,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1254,                 1.4343,                  1.398,                0.33769,                0.40517,                0.30471,                0.12668,                 1.9546,                 3.0811,                 2.2217,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1449,                 1.3808,                 1.4269,                0.50384,                0.44648,                0.44953,                0.21219,                 1.6759,                 2.0474,                 1.9595,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1079,                 1.3973,                 1.4278,                0.51822,                0.38793,                0.37603,                0.19031,                 1.5673,                   2.52,                 1.8485,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0703,                 1.3498,                 1.3704,                0.44448,                0.55172,                0.47976,                0.26559,                 1.5176,                 1.8577,                 1.8312,               0.001802,               0.001802,               0.001802
                     12,                 1.0674,                 1.2847,                 1.3676,                0.52251,                0.61319,                0.51587,                0.29846,                  1.351,                 2.2585,                    1.7,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0779,                 1.2483,                  1.378,                0.62476,                0.47414,                0.54022,                0.27551,                 1.5372,                  2.254,                 1.8452,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0882,                 1.2519,                 1.3514,                0.48044,                0.69828,                0.55388,                0.34435,                 1.2652,                 1.7914,                 1.5651,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.099,                   1.24,                 1.3797,                0.49558,                 0.5431,                0.54255,                0.29243,                 1.6491,                 1.6994,                 1.8193,              0.0017228,              0.0017228,              0.0017228
